COD_NODO,NODO,COD_PLAN
1,ALUMNOS QUE INGRESARON A PARTIR DE 2003-01,2308
1,ALUMNOS QUE INGRESARON DESDE 2003-01,2269
1,ALUMNOS QUE INGRESARON DESDE 2003-01,2279
1,ALUMNOS QUE INGRESARON EN 2001-02,2169
1,ALUMNOS QUE INGRESARON DE 2003-01 EN ADELANTE,2281
1,ALUMNOS QUE INGRESARON DESDE 2004-01 EN ADELANTE,2327
1,ALUMNOS QUE INGRESARON DESDE 2002 - 01 EN ADELANTE,2235
1,ESTUDIANTES QUE INGRESARON DESDE 2002 -02 EN ADELANTE,2216
1,ALUMNOS QUE INGRESARON A PARTIR DE 2003-02,2335
1,ALUMNOS QUE INGRESARON ENTRE 1999-02 Y 2002-02,2184
1,ALUMNOS QUE INGRESARON DE 2003 - 01 EN ADELANTE,2319
1,ALUMNOS QUE INGRESARON A PARTIR DE 2004-01,2333
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2293
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2249
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2311
1,ALUMNOS QUE INGRESARON ENTRE 1998-02 Y 2002-02,2114
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2341
1,ALUMNOS QUE INGRESARON ENTRE 1998-01 Y 2002-01,2161
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2244
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2259
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2268
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2265
1,ALUMNOS QUE INGRESARON DE 2003-01 EN ADELANTE,2310
1,ALUMNOS QUE INGRESARON DESDE 2003-01,2300
10,ALUMNOS QUE INGRESARON A PARTIR DE 2003-01,2012
3,ALUMNOS QUE INGRESARON A PARTIR DE 2003-01,2022
4,ALUMNOS QUE INGRESARON A PARTIR DE 2003-01,2023
1,ALUMNOS QUE INGRSARON DESDE 2003-01 EN ADELANTE,2299
10,ALUMNOS QUE INGRESARON ENTRE 2003 -01 Y 2003-02,2041
1,ALUMNOS QUE INGRESARON DESDE 2003-01,2343
7,ALUMNOS QUE INGRESARON A PARTIR DE 2003-01,2029
1,ALUMNOS QUE INGRESARON ENTRE 1991-2 Y 2002-2,2077
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2212
9,ALUMNOS QUE INGRESARON ENTRE 2003-01Y 2003-02,2032
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2288
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2294
1,NODO DE INGRESO 2003-01 EN ADELANTE,2260
1,NODO DE INGRESO 2003-01 EN ADELANTE,2234
1,ALUMNOS QUE INGRESAN DE 2003-01 EN ADELANTE,2220
1,ALUMNOS QUE INGRESAN DE 2003-01 EN ADELANTE,2221
1,ALUMNOS QUE INGRESAN DE 2003-01 EN ADELANTE,2228
1,ALUMNOS QUE INGRESAN DE 2003-01 EN ADELANTE,2230
1,ALUMNOS QUE INGRESAN DE 2003-01 EN ADELANTE,2231
1,ALUMNOS QUE INGRESAN DE 2003-01 EN ADELANTE,2263
1,ALUMNOS QUE INGRESARON DESDE 2004-01 EN ADELANTE,2317
1,NODO DE INGRESO 2003-01 EN ADELANTE,2243
1,ALUMNOS QUE INGRESAN DE 2003-01 EN ADELANTE,2267
1,ALUMNOS QUE INGRESAN DE 2003-01 EN ADELANTE,2270
1,ALUMNOS QUE INGRESAN DE 2003-01 EN ADELANTE,2271
1,ALUMNOS QUE INGRESARON A PARTIR DE 2003-02,2329
1,ALUMNOS QUE INGRESAN DE 2003-01 EN ADELANTE,2286
1,ALUMNOS QUE INGRESAN DE 2003-01 EN ADELANTE,2330
1,ALUMNOS QUE INGRESAN DE 2003-01 EN ADELANTE,2334
1,ALUMNOS QUE INGRESAN DE 2003-01 EN ADELANTE,2226
1,ALUMNOS QUE INGRESARON A PARTIR DE 2003-01,2241
1,ALUNMOS QUE INGRESARON A PARTIR DE 2003-01,2278
1,ALUMNOS QUE INGRESARON A PARTIR DE 2003-01,2217
7,ALUMNOS QUE INGRESARON ENTRE 2003-01 Y 2003-02,2047
1,ALUMNOS QUE INGRESARON A PARTIR DE 2002-02,2224
11,ALUMNOS QUE INGRESARON A PARTIR DE 2004-01,2031
1,ALUMNOS QUE INGRESARON ENTRE 1988-02 Y 1992-02,2014
1,ALUMNOS QUE INGRESARON ENTRE 1994-02 Y 1998-01,2043
9,ALUMNOS QUE INGRESARON A PARTIR DE 2004-01,2042
11,ALUMNOS QUE INGRESARON A PARTIR DE 2004-01,2041
20,ALUMNOS QUE INGRESARON A PARTIR DE 2004-01,2043
1,ALUMNOS QUE INGRESARON A PARTIR DE 1998-02,2045
3,ALUMNOS QUE INGRESARON EN 2001-01,2018
1,ALUMNOS QUE INGRESARON ENTRE 1984-01 Y 1989-02,2033
1,ALUMNOS QUE INGRESARON ENTRE 1992-02 Y 2002-02,2020
1,ALUMNOS QUE INGRESARON A PARTIR DE 1993-01,2015
1,ALUMNOS QUE INGRESARON ENTRE 1990-01 Y 1993-02,2017
1,ALUMNOS QUE INGRESARON A PARTIR DE 1993-01,2016
1,ALUMNOS QUE INGRESARON ANTES DE 1993-01,2030
4,ALUMNOS QUE INGRESARON ENTRE 2000-02 Y 2001-02,2030
11,ALUMNOS EN 3° SEMESTRE EN EL 2001-1,2009
1,INGRESO DESDE 1999/02 HASTA 2002/02,2085
1,ALUMNOS QUE INGRESARON DESDE 2003 - 01 EN ADELANTE,2222
1,ALUMNOS QUE INGRESAN DESDE 2003-01 EN ADELANTE,2284
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2276
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2277
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2253
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2251
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2252
1,ALUMNOS QUE INGRESARON DESDE 2002-02 EN ADELANTE,2290
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2245
1,ALUMNOS QUE INGRESARON DESDE 2003-01 EN ADELANTE,2233
1,ALUMNOS QUE INGRESARON DEDE 2003-01 EN ADELANTE,2282
1,ALUMNOS QUE INGRESARON A PARTIR DE  2003-1,2215
1,ALUMNOS QUE INGRESAN DESDE 2004-01 EN ADELANTE,2342
1,ALUMNOS QUE INGRESARON ENTRE 1998-1 Y 2002-2,2163
1,ALUMNOS QUE INGRESARON ENTRE 1999-02 Y 2002-02,2073
1,ALUMNOS QUE INGRESARON ENTRE 1995-01 Y 2002-02,2166
