COD_PROG_CURRICULAR,PROG_CURRICULAR,SNIES
122,ESPECIALIDAD EN MEDICINA AEROESPACIAL,16952
123,ESPECIALIDAD EN MEDICINA FÍSICA Y REHABILITACIÓN,47
124,ESPECIALIDAD EN MEDICINA FORENSE,16953
125,ESPECIALIDAD EN MEDICINA INTERNA,48
126,ESPECIALIZACIÓN EN METEOROLOGÍA,16894
127,ESPECIALIDAD EN NEUMOLOGÍA CLÍNICA,65
128,ESPECIALIDAD EN NEUROCIRUGÍA,49
129,ESPECIALIDAD EN NEUROLOGÍA CLÍNICA,67
130,ESPECIALIDAD EN NEUROPEDIATRÍA,16954
131,ESPECIALIDAD EN OBSTETRICIA Y GINECOLOGÍA,46
132,ESPECIALIDAD EN OFTALMOLOGÍA,50
133,ESPECIALIDAD EN ONCOHEMATOLOGÍA PEDIÁTRICA,2606
134,ESPECIALIDAD EN ORTODONCIA Y ORTOPEDIA MAXILAR,106662
137,ESPECIALIDAD EN PATOLOGÍA ANATÓMICA Y CLÍNICA,66
138,ESPECIALIDAD EN PEDIATRÍA,55
140,ESPECIALIZACIÓN EN ESTUDIOS FEMINISTAS Y DE GÉNERO,55208
141,ESPECIALIDAD EN PSIQUIATRÍA,57
142,ESPECIALIDAD EN RADIOLOGÍA E IMÁGENES DIAGNÓSTICAS,58
143,ESPECIALIZACIÓN EN RECURSOS HIDRÁULICOS,78
144,ESPECIALIDAD EN REHABILITACIÓN ORAL,3992
145,ESPECIALIDAD EN REUMATOLOGÍA,59
146,ESPECIALIZACIÓN EN SALUD FAMILIAR INTEGRAL,20486
147,ESPECIALIZACIÓN EN SALUD OCUPACIONAL,55027
149,ESPECIALIZACIÓN EN TRADUCCIÓN,16740
151,ESPECIALIDAD EN UROLOGÍA,60
152,MAESTRÍA EN ADMINISTRACIÓN,19921
152,MAESTRÍA EN ADMINISTRACIÓN,101987
152,MAESTRÍA EN ADMINISTRACIÓN,17906
155,MAESTRÍA EN ARTES PLÁSTICAS Y VISUALES,55143
155,MAESTRÍA EN ARTES PLÁSTICAS Y VISUALES,16889
157,MAESTRÍA EN BIOQUÍMICA,19915
158,MAESTRÍA EN CIENCIAS AGRARIAS,20488
158,MAESTRÍA EN CIENCIAS AGRARIAS,16884
158,MAESTRÍA EN CIENCIAS AGRARIAS,19887
159,MAESTRÍA EN CIENCIAS - BIOLOGíA,90822
159,MAESTRÍA EN CIENCIAS - BIOLOGíA,2449
160,MAESTRÍA EN BIOQUÍMICA,2603
161,MAESTRÍA EN CIENCIAS - ESTADÍSTICA,104
161,MAESTRÍA EN CIENCIAS - ESTADÍSTICA,140
162,MAESTRÍA EN CIENCIAS FARMACÉUTICAS,19904
167,MAESTRÍA EN CIENCIAS - METEOROLOGÍA,19903
168,MAESTRÍA EN CIENCIAS - QUÍMICA,108
168,MAESTRÍA EN CIENCIAS - QUÍMICA,19888
169,MAESTRÍA EN CONSTRUCCIÓN,110722
169,MAESTRÍA EN CONSTRUCCIÓN,16890
169,MAESTRÍA EN CONSTRUCCIÓN,91523
171,MAESTRÍA EN CIENCIAS ECONÓMICAS,4063
171,MAESTRÍA EN CIENCIAS ECONÓMICAS,2503
172,MAESTRÍA EN ENFERMERÍA,89
174,MAESTRÍA EN ESTUDIOS DE GÉNERO ÁREA MUJER Y DESARROLLO,106671
175,MAESTRÍA EN ESTUDIOS POLÍTICOS,19908
175,MAESTRÍA EN ESTUDIOS POLÍTICOS,101797
176,MAESTRÍA EN CIENCIAS - FARMACOLOGÍA,109
177,MAESTRÍA EN FILOSOFÍA,92
179,MAESTRÍA EN GENÉTICA HUMANA,87
180,MAESTRÍA EN INGENIERÍA - GEOTECNIA,19864
180,MAESTRÍA EN INGENIERÍA - GEOTECNIA,100
181,MAESTRÍA EN HABITAT,19863
181,MAESTRÍA EN HABITAT,19923
181,MAESTRÍA EN HABITAT,16891
182,MAESTRÍA EN HISTORIA,91
182,MAESTRÍA EN HISTORIA,135
183,"MAESTRÍA EN HISTORIA Y TEORÍA DEL ARTE, LA ARQUITECTURA Y LA CIUDAD",106675
184,MAESTRÍA EN INFECCIONES Y SALUD EN EL TRÓPICO,19918
