COD_DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO
0,0,Desconocido
1,999,CIUDAD SIN INFORMACION
2,999,CIUDAD EXTRANJERO
5,1,MEDELLÍN
5,2,ABEJORRAL
5,4,ABRIAQUÍ
5,21,ALEJANDRÍA
5,30,AMAGÁ
5,31,AMALFI
5,34,ANDES
5,36,ANGELÓPOLIS
5,38,ANGOSTURA
5,40,ANORÍ
5,42,SANTA FÉ DE ANTIOQUIA
5,44,ANZÁ
5,45,APARTADÓ
5,51,ARBOLETES
5,55,ARGELIA
5,59,ARMENIA
5,79,BARBOSA
5,86,BELMIRA
5,88,BELLO
5,91,BETANIA
5,93,BETULIA
5,101,CIUDAD BOLÍVAR
5,107,BRICEÑO
5,113,BURITICÁ
5,120,CÁCERES
5,125,CAICEDO
5,129,CALDAS
5,134,CAMPAMENTO
5,138,CAÑASGORDAS
5,142,CARACOLÍ
5,145,CARAMANTA
5,147,CAREPA
5,148,EL CARMEN DE VIBORAL
5,150,CAROLINA
5,154,CAUCASIA
5,172,CHIGORODÓ
5,190,CISNEROS
5,197,COCORNÁ
5,206,CONCEPCIÓN
5,209,CONCORDIA
5,212,COPACABANA
5,234,DABEIBA
5,237,DON MATÍAS
5,240,EBÉJICO
5,250,EL BAGRE
5,264,ENTRERRÍOS
5,266,ENVIGADO
5,282,FREDONIA
5,284,FRONTINO
5,306,GIRALDO
5,308,GIRARDOTA
5,310,GÓMEZ PLATA
5,313,GRANADA
5,315,GUADALUPE
5,318,GUARNE
5,321,GUATAPÉ
5,347,HELICONIA
5,353,HISPANIA
5,360,ITAGÜÍ
5,361,ITUANGO
5,364,JARDÍN
5,368,JERICÓ
5,376,LA CEJA
5,380,LA ESTRELLA
5,387,LA MAGDALENA
5,390,LA PINTADA
5,400,LA UNIÓN
5,411,LIBORINA
5,425,MACEO
5,440,MARINILLA
5,467,MONTEBELLO
5,475,MURINDÓ
5,480,MUTATÁ
5,483,NARIÑO
5,490,NECOCLÍ
5,495,NECHÍ
5,501,OLAYA
5,541,PEÑOL
5,543,PEQUE
5,576,PUEBLORRICO
5,579,PUERTO BERRÍO
5,585,PUERTO NARE
5,591,PUERTO TRIUNFO
5,604,REMEDIOS
5,607,RETIRO
5,615,RIONEGRO
5,628,SABANALARGA
5,631,SABANETA
5,642,SALGAR
5,647,SAN ANDRÉS DE CUERQUÍA
5,649,SAN CARLOS
5,652,SAN FRANCISCO
5,656,SAN JERÓNIMO
5,658,SAN JOSÉ DE LA MONTAÑA
5,659,SAN JUAN DE URABÁ
5,660,SAN LUIS
5,664,SAN PEDRO DE LOS MILAGROS
5,665,SAN PEDRO DE URABÁ
5,667,SAN RAFAEL
5,670,SAN ROQUE
5,674,SAN VICENTE FERRER
5,679,SANTA BÁRBARA
5,686,SANTA ROSA DE OSOS
5,690,SANTO DOMINGO
5,697,EL SANTUARIO
5,736,SEGOVIA
5,756,SONSÓN
5,761,SOPETRÁN
5,789,TÁMESIS
5,790,TARAZÁ
5,792,TARSO
5,809,TITIRIBÍ
5,819,TOLEDO
5,837,TURBO
5,842,URAMITA
5,847,URRAO
5,854,VALDIVIA
5,856,VALPARAÍSO
5,858,VEGACHÍ
5,861,VENECIA
5,873,VIGÍA DEL FUERTE
5,885,YALÍ
5,887,YARUMAL
5,890,YOLOMBÓ
5,893,YONDÓ
5,895,ZARAGOZA
8,1,BARRANQUILLA
8,78,BARANOA
8,137,CAMPO DE LA CRUZ
8,141,CANDELARIA
8,296,GALAPA
8,372,JUAN DE ACOSTA
8,421,LURUACO
8,433,MALAMBO
8,436,MANATÍ
8,520,PALMAR DE VARELA
8,549,PIOJÓ
8,558,POLONUEVO
8,560,PONEDERA
8,573,PUERTO COLOMBIA
8,606,REPELÓN
8,634,SABANAGRANDE
8,638,SABANALARGA
8,675,SANTA LUCÍA
8,685,SANTO TOMÁS
8,758,SOLEDAD
8,770,SUAN
8,832,TUBARÁ
8,849,USIACURÍ
11,1,"BOGOTÁ, D.C."
11,101,CONCEPCIÓN
11,102,NAZARETH
11,103,NÚÑEZ
11,104,ISMAEL PERDOMO
11,105,SAN JUAN DE SUMAPAZ
13,1,CARTAGENA DE INDIAS
13,6,ACHÍ
13,30,ALTOS DEL ROSARIO
13,42,ARENAL
13,52,ARJONA
13,62,ARROYOHONDO
13,74,BARRANCO DE LOBA
13,140,CALAMAR
13,160,CANTAGALLO
13,188,CICUCO
13,212,CÓRDOBA
13,222,CLEMENCIA
13,244,EL CARMEN DE BOLÍVAR
13,248,EL GUAMO
13,268,EL PEÑÓN
13,300,HATILLO DE LOBA
13,430,MAGANGUÉ
13,433,MAHATES
13,440,MARGARITA
13,442,MARÍA LA BAJA
13,458,MONTECRISTO
13,468,SANTA CRUZ DE MOMPOX
13,473,MORALES
13,549,PINILLOS
13,580,REGIDOR
13,600,RÍO VIEJO
13,620,SAN CRISTÓBAL
13,647,SAN ESTANISLAO
13,650,SAN FERNANDO
13,654,SAN JACINTO
13,655,SAN JACINTO DEL CAUCA
