COD_COLEGIO,COLEGIO,TIPO_COLEGIO,MODACADEMICA
0,COLEGIO POR DEFECTO,IND,No oficial
000002,INSTITUCION DE EDUCACION MEDIA EXTRANJERA,OTR,No oficial
000003,INSTITUCION NO REGISTRADA,OTR,No oficial
000018,ATENEO HORIZONTE,PRV,No oficial
000026,COLEGIO BACHILLERATO NOCTURNO MARIA AUXILIADORA,NOC,No oficial
000034,BACHILLERATO NOCTURNO POPULAR SAN IGNACIO,NOC,No oficial
000042,CENTRO DE CULTURA BASICA BACHILLERATO NOCTURNO MIXTO,NOC,No oficial
000059,CENTRO FORMATIVO DE ANTIOQUIA CEFA,OFI,Oficial
000067,CENTRO FORMATIVO DE ANTIOQUIA,OFI,Oficial
000075,COLEGIO SANTOS ANGELES CUSTODIOS,OFI,Oficial
000083,COLEGIO BARBARA MICARELLI,PRV,No oficial
000091,COLEGIO BETHLEMITAS,PRV,No oficial
000117,COLEGIO BOLIVAR,PRV,No oficial
000125,COLEGIO CALASANZ FEMENINO,PRV,No oficial
000141,COLEGIO CALASANZ,PRV,No oficial
000158,COLEGIO CALASANZ NOCTURNO,NOC,No oficial
000174,COLEGIO CORAZONISTA,PRV,No oficial
000182,COLEGIO CRISTOBAL COLON (THE COLUMBUS SCHOOL),PRV,No oficial
000190,COLEGIO DE LA COMPAÑIA DE MARIA,PRV,No oficial
000208,COLEGIO DE LA PRESENTACION MEDELLIN,PRV,No oficial
000216,COLEGIO DE MARIA,PRV,No oficial
000232,COLEGIO EUCARISTICO DE LA MILAGROSA,PRV,No oficial
000240,INSTITUTO FERRINI,PRV,No oficial
000257,INSTITUTO FERRINI,PRV,No oficial
000265,INSTITUTO FERRINI,NOC,No oficial
000273,COLEGIO FRAY RAFAEL DE LA SERNA,PRV,No oficial
000281,COMUNIDAD COLEGIO JESUS MARIA,PRV,No oficial
000315,COLEGIO DE LA INMACULADA,PRV,No oficial
000349,COLEGIO LOS ALMENDROS,PRV,No oficial
000356,COLEGIO MADRE ANTONIA CERINI,PRV,No oficial
000364,COLEGIO MARIA AUXILIADORA,PRV,No oficial
000372,COLEGIO MARYMOUNT,PRV,No oficial
000380,COLEGIO MILITAR JOSE MARIA CORDOBA,PRV,No oficial
000398,COLEGIO NUESTRA MADRE DE MERCEDES,PRV,No oficial
000406,COLEGIO NUESTRA SEÑORA DEL ROSARIO DE CHIQUINQUIRA,PRV,No oficial
000422,COLEGIO NUESTRA SEÑORA DE LA PROVIDENCIA,PRV,No oficial
000430,COLEGIO PALERMO DE SAN JOSE,PRV,No oficial
000448,COLEGIO SAGRADOS CORAZONES,PRV,No oficial
000455,COLEGIO SALESIANO EL SUFRAGIO,PRV,No oficial
000463,COLEGIO SAN IGNACIO DE LOYOLA,PRV,No oficial
000471,COLEGIO SAN JOSE DE LA SALLE,PRV,No oficial
000489,COLEGIO SAN JOSE DE LAS VEGAS,PRV,No oficial
000497,COLEGIO SAN JUAN BOSCO,PRV,No oficial
000505,COLEGIO FEMENINO SANTA INES,PRV,No oficial
000521,COLEGIO SANTA MARIA DEL ROSARIO,PRV,No oficial
000539,FUNDACION EDUCATIVA COLEGIO SANTA MARIA DE LOS ANGELES,PRV,No oficial
000547,COLEGIO SANTA MARIA MAZZARELLO,PRV,No oficial
000554,COLEGIO SANTA TERESITA,PRV,No oficial
000588,GIMNASIO LOS CEDROS,PRV,No oficial
000596,COLEGIO GIMNASIO LOS PINARES,PRV,No oficial
000604,GIMNASIO TAGORE,PRV,No oficial
000638,COLEGIO NUEVO CERVANTES CONOCER,PRV,No oficial
000653,INSTITUTO COLOMBO VENEZOLANO,PRV,No oficial
000661,INSTITUTO CONRADO GONZALEZ MEJIA,PRV,No oficial
000679,CORPORACION EDUCATIVA INSTITUTO CULTURAL ATENAS,PRV,No oficial
000687,INSTITUCION EDUCATIVA FEDERICO OZANAM,OFI,Oficial
000703,LICEO MARGARITA CORREA DE ESCOBAR,OFI,Oficial
000711,COLEGIO SAMUEL BARRIENTOS RESTREPO,OFI,Oficial
000737,INSTITUTO EL POBLADO,PRV,No oficial
000752,COLEGIO JOSEFA DEL CASTILLO,PRV,No oficial
000760,INSTITUTO JORGE ROBLEDO,PRV,No oficial
000778,INSTITUTO MIGUEL DE UNAMUNO,PRV,No oficial
000786,INEM JOSE FELIX DE RESTREPO,OFI,Oficial
000794,INEM JOSE FELIX DE RESTREPO,OFI,Oficial
000810,INSTITUCION EDUCATIVA FEDERICO OZANAM,NOC,No oficial
