CODIGO_INTERNO,COD_DEPTO_PROCEDENCIA,COD_MUN_PROCEDENCIA,COD_DEPTO_RESIDENCIA,COD_MUN_RESIDENCIA,ESTRATO,COD_COLEGIO,MODACADEMICA,ANO_TERMINACION_COLEGIO,PBM_CALCULADO,PBM_COLEGIO,PBM_ASIGNADO,PUNTAJE_ADMISION,CONVOCATORIA,APERTURA,COD_ACCESO,COD_SUBACCESO,NODO_INICIO,COD_PLAN,HIST_ACADEMICA
414571,2,999,2,999,No Informa,555555,No oficial,2014,,,,"906,78",2017-1S,2017-1S,1,1,2,2552,3848
421291,2,999,2,999,No Estratificado,555555,No oficial,2016,21,,,"762,5",2018-1S,2018-1S,1,1,2,2552,4162
358896,5,1,5,1,3,014399,Oficial,2006,17,,,"727,88",2019-1S,2019-1S,1,1,2,3534,84
393455,5,1,5,1,4,000836,No oficial,2013,62,,,"765,4",2015-1S,2015-1S,1,1,2,2552,3270
371811,5,1,5,1,No Informa,053462,No oficial,2013,,,,"775,17",2014-1S,2014-1S,1,1,2,2552,3065
386315,5,1,5,1,2,114942,Oficial,2013,10,,,"653,51",2014-2S,2014-2S,1,1,12,2540,1945
371323,5,1,5,1,5,080358,Oficial,2013,30,,,"753,21",2014-1S,2014-1S,1,1,2,2552,2976
382222,5,1,5,1,No Informa,011312,No oficial,2014,,,,"742,42",2015-2S,2015-2S,1,1,2,2552,3466
416117,5,1,5,1,No Informa,063578,No oficial,2017,,,,"781,77",2018-1S,2018-1S,1,1,2,2552,4060
438597,5,88,5,1,3,043661,Oficial,2003,12,,,"639,51",2016-1S,2016-1S,1,1,4,3534,695
439865,5,1,5,1,3,042119,Oficial,2011,13,,,"758,89",2015-2S,2015-2S,1,1,2,3534,737
454431,5,1,5,1,4,000141,No oficial,2013,69,,,,2020-1S,2020-1S,9,1,1,3534,409
458918,5,1,5,1,3,117465,Oficial,2006,15,,,"599,92",2020-2S,2020-2S,1,1,4,3534,496
459323,5,1,5,1,3,085837,No oficial,2011,35,42,,"675,09",2019-1S,2019-1S,1,1,2,3534,72
454059,5,1,5,1,3,001115,No oficial,2013,52,,,"660,6",2014-1S,2014-1S,1,1,4,3534,749
449540,5,1,5,1,2,013573,Oficial,2008,13,,,"632,7",2014-2S,2014-2S,1,1,4,3534,763
466049,5,1,5,1,2,000851,Oficial,2014,11,,,671,2015-1S,2015-1S,1,1,2,3534,623
467852,5,1,5,1,3,000984,Oficial,2014,23,,,"705,05",2015-1S,2015-1S,1,1,2,3534,679
460512,5,1,5,1,6,000174,No oficial,2013,81,,,"701,02",2014-1S,2014-1S,1,1,4,3534,612
460517,5,1,5,1,4,000174,No oficial,2013,67,,,,2017-2S,2017-2S,9,5,1,3534,777
455214,5,1,5,1,2,000240,No oficial,2007,7,,,"698,65",2020-2S,2020-2S,1,1,2,3534,482
454967,5,1,5,1,4,999993,No oficial,2013,39,,,,2014-2S,2016-2S,3,1,2,3534,666
460041,5,1,5,1,4,045948,No oficial,2023,100,,,"639,56",2016-1S,2016-1S,1,5,2,3534,767
458202,5,1,5,1,2,108159,Oficial,2011,9,,,"604,27",2014-2S,2014-2S,1,1,4,3534,652
461044,5,1,5,1,3,000141,No oficial,2008,54,57,,"683,3",2014-1S,2014-1S,1,1,2,3534,745
460968,5,1,5,1,3,050419,Oficial,2012,12,,,"599,03",2014-2S,2014-2S,1,1,5,3534,776
471670,5,1,5,1,1,000935,Oficial,2016,3,,,,2018-2S,2022-2S,3,1,2,3534,1269
460341,70,823,5,1,1,068999,Oficial,2010,2,,,"555,05",2015-2S,2015-2S,1,3,5,3534,757
468662,5,1,5,1,3,000943,Oficial,2016,24,,,"643,06",2017-2S,2017-2S,1,1,4,3534,571
513315,5,1,5,1,4,000984,Oficial,2014,63,,,"675,87",2015-2S,2015-2S,1,1,2,3534,584
465056,5,360,5,1,3,037705,Oficial,2015,34,,,"734,41",2018-1S,2018-1S,1,1,2,3534,661
467077,5,1,5,1,2,063453,Oficial,2013,8,,,"650,48",2018-1S,2018-1S,1,1,4,3534,798
466471,5,172,5,1,1,072629,No oficial,2014,10,,,"698,33",2017-1S,2017-1S,1,1,2,3534,784
465509,23,466,5,1,3,000927,Oficial,2008,14,,,"616,54",2015-2S,2015-2S,1,1,2,3534,730
454052,5,1,5,1,5,001032,Oficial,2013,39,,,,2014-2S,2016-2S,3,1,2,3534,766
456164,5,1,5,1,4,001115,No oficial,2013,56,,,"606,71",2014-2S,2014-2S,1,1,5,3534,742
465671,5,1,5,1,3,110825,No oficial,2013,42,,,"581,43",2014-2S,2014-2S,1,1,4,3534,503
467564,5,1,5,1,3,000687,Oficial,2013,14,,,"631,88",2015-2S,2015-2S,1,1,4,3534,586
475145,5,1,5,1,3,020297,No oficial,2016,42,,,"601,67",2017-2S,2017-2S,1,1,4,3534,525
468453,5,1,5,1,3,007484,Oficial,2023,100,,,"538,86",2016-1S,2016-1S,1,3,5,3534,780
