COD_PLAN,COD_PROG_CURRICULAR,PLAN_ESTUDIOS,SNIES,CREDITOS_REQUERIDOS_PLAN,TIPO_NIVEL,COD_FACULTAD
2678,121,ESPECIALIZACION EN ENFERMERIA MATERNA PERINATAL CON APOYO FAMILIAR,63,0,POSGRADO,2054
2742,138,ESPECIALIDAD EN PEDIATRÍA,55,232,POSGRADO,2056
2745,142,ESPECIALIDAD EN RADIOLOGIA E IMAGENES DIAGNOSTICAS,58,280,POSGRADO,2056
2737,132,ESPECIALIDAD EN OFTALMOLOGIA,50,214,POSGRADO,2056
2741,137,ESPECIALIDAD EN PATOLOGIA ANATOMICA Y CLINICA,66,312,POSGRADO,2056
2743,254,ESPECIALIDAD EN PERINATOLOGIA Y NEONATOLOGIA,19963,166,POSGRADO,2056
2637,152,MAESTRIA EN ADMINISTRACIÓN,17906,0,POSGRADO,2051
2690,082,ESPECIALIZACION EN GEOTECNIA,75,28,POSGRADO,2055
2687,089,ESPECIALIZACION EN AUTOMATIZACION INDUSTRIAL,16945,25,POSGRADO,2055
2688,161,MAESTRIA EN CIENCIAS - ESTADISTICA,104,74,POSGRADO,2050
2791,327,ESPECIALIZACIÓN EN DERECHOS HUMANOS Y DERECHO INTERNACIONAL HUMANITARIO,54578,32,POSGRADO,2053
2792,112,ESPECIALIZACIÓN EN INGENIERIA AMBIENTAL - ÁREA SANITARIA,77,28,POSGRADO,2055
2805,377,MAESTRÍA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,55148,71,POSGRADO,2728
2806,333,MAESTRÍA EN ENSEÑANZA DE LAS CIENCIAS EXACTAS Y NATURALES,55136,52,POSGRADO,2050
2763,196,MAESTRIA EN SALUD ANIMAL,86,72,POSGRADO,2057
2761,067,DOCTORADO EN CIENCIAS - SALUD ANIMAL,106670,150,POSGRADO,2057
2596,278,MAESTRÍA EN ESCRITURAS CREATIVAS,52746,63,POSGRADO,2049
2600,294,MAESTRIA EN MUSEOLOGÍA Y GESTIÓN DEL PATRIMONIO,52741,54,POSGRADO,2049
2599,183,"MAESTRÍA EN HISTORIA Y TEORÍA DEL ARTE, LA ARQUITECTURA Y LA CIUDAD",106675,0,POSGRADO,2049
2657,304,MAESTRÍA EN GEOGRAFÍA,53270,60,POSGRADO,2052
2641,305,DOCTORADO EN GEOGRAFÍA,53273,120,POSGRADO,2052
2655,247,MAESTRÍA EN ESTUDIOS LITERARIOS,21556,70,POSGRADO,2052
2662,198,MAESTRÍA EN SOCIOLOGÍA,90,0,POSGRADO,2052
3570,309,MAESTRÍA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,52753,71,POSGRADO,3442
3571,068,DOCTORADO EN CIENCIAS AGROPECUARIAS - ÁREA AGRARIA,51672,150,POSGRADO,3066
3575,217,ESPECIALIZACIÓN EN CIENCIA POLÍTICA,16928,32,POSGRADO,3067
3576,218,ESPECIALIZACIÓN EN ECONOMÍA INTERNACIONAL,2507,30,POSGRADO,3067
3577,220,ESPECIALIZACIÓN EN ESTÉTICA,16929,29,POSGRADO,3067
3578,234,ESPECIALIZACIÓN EN DIVULGACIÓN Y APROPIACIÓN DE LAS CIENCIAS Y LAS TÉCNICAS,55028,28,POSGRADO,3067
3579,171,MAESTRÍA EN CIENCIAS ECONÓMICAS,2503,60,POSGRADO,3067
3289,091,ESPECIALIZACIÓN EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2706,21,POSGRADO,3066
3526,059,TECNOLOGÍA FORESTAL,16918,0,OTROS,3066
3299,237,ESPECIALIZACIÓN EN GESTIÓN INMOBILIARIA,21555,26,POSGRADO,3064
3580,219,MAESTRÍA EN ESTÉTICA,2504,54,POSGRADO,3067
3581,182,MAESTRÍA EN HISTORIA,135,72,POSGRADO,3067
3582,078,DOCTORADO EN HISTORIA,19860,147,POSGRADO,3067
3585,221,ESPECIALIZACIÓN EN APROVECHAMIENTO DE RECURSOS HIDRÁULICOS,132,28,POSGRADO,3068
3586,106,ESPECIALIZACIÓN EN ESTRUCTURAS,3194,28,POSGRADO,3068
3587,205,ESPECIALIZACIÓN EN GESTIÓN AMBIENTAL,16932,28,POSGRADO,3068
3588,246,ESPECIALIZACIÓN EN GESTIÓN EMPRESARIAL,21554,0,POSGRADO,3068
3589,233,ESPECIALIZACIÓN EN INGENIERÍA FINANCIERA,16933,28,POSGRADO,3068
3590,228,ESPECIALIZACIÓN EN MERCADOS DE ENERGÍA,19971,28,POSGRADO,3068
3591,101,ESPECIALIZACIÓN EN SISTEMAS,16936,0,POSGRADO,3068
3615,370,MAESTRÍA EN INGENIERÍA - SISTEMAS ENERGÉTICOS,102865,0,POSGRADO,3068
3592,225,ESPECIALIZACIÓN EN VÍAS Y TRANSPORTE,2506,0,POSGRADO,3068
3593,194,MAESTRÍA EN INGENIERÍA - RECURSOS HIDRÁULICOS,137,52,POSGRADO,3068
3594,279,MAESTRÍA EN INGENIERÍA - INGENIERÍA ADMINISTRATIVA,52752,0,POSGRADO,3068
3595,273,MAESTRÍA EN INGENIERÍA - INFRAESTRUCTURA Y SISTEMAS DE TRANSPORTE,52737,52,POSGRADO,3068
3596,180,MAESTRÍA EN INGENIERÍA - GEOTECNIA,19864,52,POSGRADO,3068
3597,187,MAESTRÍA EN INGENIERÍA - INGENIERÍA DE SISTEMAS,136,0,POSGRADO,3068
3598,189,MAESTRÍA EN INGENIERÍA - INGENIERÍA QUÍMICA,19866,0,POSGRADO,3068
3599,224,MAESTRÍA EN INGENIERÍA - MATERIALES Y PROCESOS,19865,52,POSGRADO,3068
3600,192,MAESTRÍA EN MEDIO AMBIENTE Y DESARROLLO,19867,54,POSGRADO,3068
3601,280,DOCTORADO EN INGENIERÍA - CIENCIA Y TECNOLOGÍA DE MATERIALES,52751,135,POSGRADO,3068
3602,271,DOCTORADO EN INGENIERÍA - SISTEMAS E INFORMÁTICA,51669,135,POSGRADO,3068
3603,272,DOCTORADO EN INGENIERÍA - RECURSOS HIDRÁULICOS,51670,135,POSGRADO,3068
3604,270,DOCTORADO EN INGENIERÍA - SISTEMAS ENERGÉTICOS,51671,135,POSGRADO,3068
3501,031,ARQUITECTURA,127,178,PREGRADO,3064
3502,047,ARTES PLÁSTICAS,16919,151,PREGRADO,3064
3503,061,CONSTRUCCIÓN,128,180,PREGRADO,3064
3504,007,ESTADÍSTICA,16920,149,PREGRADO,3065
3505,051,INGENIERÍA BIOLÓGICA,16921,164,PREGRADO,3065
3506,056,INGENIERÍA FÍSICA,16923,173,PREGRADO,3065
3507,003,MATEMÁTICAS,129,140,PREGRADO,3065
3508,408,INGENIERÍA AGRÍCOLA,116,180,PREGRADO,3442
3509,378,INGENIERÍA AGRONÓMICA,113,181,PREGRADO,3442
3510,409,INGENIERÍA FORESTAL,124,172,PREGRADO,3442
3511,407,ZOOTECNIA,16926,179,PREGRADO,3442
3551,215,ESPECIALIZACIÓN EN CIENCIAS-ENTOMOLOGÍA,2500,28,POSGRADO,3065
3552,104,ESPECIALIZACIÓN EN ESTADÍSTICA,134,25,POSGRADO,3065
3552,104,ESPECIALIZACIÓN EN ESTADÍSTICA,134,25,POSGRADO,4037
3553,120,ESPECIALIZACIÓN EN MATEMÁTICA AVANZADA,133,0,POSGRADO,3065
3554,212,MAESTRÍA EN CIENCIAS - BIOTECNOLOGÍA,106668,70,POSGRADO,3065
3555,214,MAESTRÍA EN CIENCIAS - ENTOMOLOGÍA,2501,60,POSGRADO,3065
3556,161,MAESTRÍA EN CIENCIAS - ESTADÍSTICA,140,74,POSGRADO,3065
2663,323,MAESTRÍA EN TRABAJO SOCIAL,53271,57,POSGRADO,2052
2679,147,ESPECIALIZACIÓN EN SALUD OCUPACIONAL,55027,36,POSGRADO,2054
2715,095,ESPECIALIDAD EN CIRUGIA PEDIATRICA,39,320,POSGRADO,2056
2725,190,MAESTRIA EN LINGÜISTICA,93,57,POSGRADO,2052
2731,174,MAESTRÍA EN ESTUDIOS DE GÉNERO,106671,70,POSGRADO,2052
2749,116,ESPECIALIZACION EN DERECHO DEL TRABAJO,69,32,POSGRADO,2053
2771,116,ESPECIALIZACION EN DERECHO DEL TRABAJO,69,32,POSGRADO,2053
2809,118,ESPECIALIZACION EN DERECHO ADMINISTRATIVO,70,32,POSGRADO,2053
2832,170,MAESTRIA EN DERECHO,19910,60,POSGRADO,2053
2502,D27,DOCTORADO EN ESTUDIOS POLITICOS Y RELACIONES INTERNACIONALES,53274,120,POSGRADO,2053
2561,152,MAESTRIA EN ADMINISTRACIÓN CONVENIO UNIVERSIDAD DE CARTAGENA,17906,85,POSGRADO,2051
2718,099,ESPECIALIDAD EN DERMATOLOGIA,41,173,POSGRADO,2056
2722,108,ESPECIALIDAD EN GASTROENTEROLOGIA,45,137,POSGRADO,2056
2723,263,ESPECIALIDAD EN GERIATRIA,21562,235,POSGRADO,2056
2793,152,MAESTRIA EN ADMINISTRACIÓN,17906,0,POSGRADO,2051
2801,357,MAESTRÍA EN COMUNICACIÓN Y MEDIOS,54576,65,POSGRADO,2052
2818,341,ESPECIALIDAD EN PERIODONCIA,55024,90,POSGRADO,2058
2860,364,MAESTRÍA EN EDUCACIÓN ARTÍSTICA,101795,53,POSGRADO,2049
2861,360,MAESTRÍA EN CIENCIAS - BIOESTADÍSTICA,101799,50,POSGRADO,2050
2862,362,DOCTORADO EN CIENCIAS - BIOQUÍMICA,101982,150,POSGRADO,2050
2863,363,MAESTRÍA EN MUSICOLOGÍA,101798,60,POSGRADO,2049
2864,359,MAESTRÍA EN CONTABILIDAD Y FINANZAS,101794,0,POSGRADO,2051
2865,365,MAESTRÍA EN INGENIERÍA - INGENIERÍA ELECTRÓNICA,101796,0,POSGRADO,2055
2866,177,MAESTRÍA EN FILOSOFÍA,92,74,POSGRADO,2052
2867,118,ESPECIALIZACIÓN EN DERECHO ADMINISTRATIVO,70,32,POSGRADO,2053
2868,282,MAESTRIA EN EDUCACIÓN,52978,57,POSGRADO,2052
2869,152,MAESTRÍA EN ADMINISTRACIÓN,17906,0,POSGRADO,2051
2870,383,ESPECIALIZACIÓN EN CULTIVOS PERENNES INDUSTRIALES,52730,26,POSGRADO,2728
2871,152,MAESTRIA EN ADMINISTRACIÓN,17906,0,POSGRADO,2051
2872,152,MAESTRIA EN ADMINISTRACIÓN,17906,0,POSGRADO,2051
2873,152,MAESTRIA EN ADMINISTRACIÓN,17906,56,POSGRADO,2051
2874,152,MAESTRIA EN ADMINISTRACIÓN,17906,56,POSGRADO,2051
2875,119,ESPECIALIZACIÓN EN INSTITUCIONES JURÍDICO PROCESALES,16950,32,POSGRADO,2053
2876,119,ESPECIALIZACIÓN EN INSTITUCIONES JURÍDICO PROCESALES,16950,32,POSGRADO,2053
2877,114,ESPECIALIZACIÓN EN INSTITUCIONES JURÍDICAS DE LA SEGURIDAD SOCIAL,16951,32,POSGRADO,2053
2878,240,ESPECIALIZACIÓN EN ANÁLISIS DE POLÍTICAS PÚBLICAS,21563,32,POSGRADO,2053
2879,372,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,106661,0,PREGRADO,2055
2880,382,DOCTORADO EN CIENCIAS AGRARIAS,16887,150,POSGRADO,2728
2881,190,MAESTRIA EN LINGÜISTICA,93,57,POSGRADO,2052
2882,367,MAESTRÍA EN BIOINFORMÁTICA,102404,0,POSGRADO,2055
2883,162,MAESTRÍA EN CIENCIAS FARMACÉUTICAS,19904,0,POSGRADO,2050
2884,176,MAESTRÍA EN CIENCIAS - FARMACOLOGÍA,109,0,POSGRADO,2050
2885,147,ESPECIALIZACIÓN EN SALUD OCUPACIONAL,55027,36,POSGRADO,2054
2DTS,DTS,CRÉDITOS PRIMER PLAN PARA DOBLE TITULACIÓN,0,0,PREGRADO,2000
2886,106,ESPECIALIZACIÓN EN ESTRUCTURAS,80,28,POSGRADO,2055
2887,371,DOCTORADO EN INGENIERÍA - INGENIERÍA CIVIL,102832,135,POSGRADO,2055
2888,116,ESPECIALIZACION EN DERECHO DEL TRABAJO,69,32,POSGRADO,2053
2644,191,ESPECIALIZACIÓN EN ANÁLISIS ESPACIAL,53267,30,POSGRADO,2052
2645,087,ESPECIALIZACIÓN EN ANTROPOLOGÍA FORENSE,16944,37,POSGRADO,2052
2646,266,ESPECIALIZACIÓN EN FILOSOFÍA DE LA MENTE,51680,25,POSGRADO,2052
2647,202,ESPECIALIZACIÓN EN FILOSOFÍA POLÍTICA,21558,25,POSGRADO,2052
2648,140,ESPECIALIZACION EN ESTUDIOS FEMINISTAS Y DE GENERO,55208,25,POSGRADO,2052
2580,276,ESPECIALIZACIÓN EN ANIMACIÓN,52972,28,POSGRADO,2049
2649,267,ESPECIALIZACIÓN EN TEORÍA ÉTICA,51685,25,POSGRADO,2052
2585,298,ESPECIALIZACIÓN EN FOTOGRAFÍA,52731,36,POSGRADO,2049
2582,208,ESPECIALIZACION EN DISEÑO URBANO,19962,35,POSGRADO,2049
2499,D25,DOCTORADO EN GEOGRAFIA,53273,120,POSGRADO,2052
2569,322,DOCTORADO EN ESTUDIOS POLÍTICOS Y RELACIONES INTERNACIONALES,53274,125,POSGRADO,2053
2571,324,MAESTRÍA EN ESTUDIOS SOCIALES DE LA CIENCIA,55026,0,POSGRADO,2052
2512,043,MÚSICA INSTRUMENTAL,3101,0,PREGRADO,2049
2604,201,MAESTRÍA EN URBANISMO,103,0,POSGRADO,2049
2699,173,MAESTRÍA EN INGENIERÍA - ESTRUCTURAS,101,0,POSGRADO,2055
2577,379,MAESTRÍA EN CIENCIAS AGRARIAS,16884,75,POSGRADO,2728
2586,296,ESPECIALIZACIÓN EN INSTRUMENTOS DE ORDENAMIENTO URBANO - REGIONAL,52745,25,POSGRADO,2049
2752,253,MAESTRIA EN EPIDEMIOLOGIA CLINICA,21560,69,POSGRADO,2056
2760,199,MAESTRÍA EN TOXICOLOGÍA,19919,0,POSGRADO,2056
2753,178,MAESTRÍA EN FISIOLOGÍA,19917,0,POSGRADO,2056
2689,106,ESPECIALIZACION EN ESTRUCTURAS,80,25,POSGRADO,2055
2770,067,DOCTORADO EN CIENCIAS - SALUD ANIMAL O PRODUCCIÓN ANIMAL,106670,0,POSGRADO,2057
2581,081,ESPECIALIZACION EN DISEÑO DE MULTIMEDIA,16892,25,POSGRADO,2049
2734,129,ESPECIALIDAD EN NEUROLOGÍA CLÍNICA,67,239,POSGRADO,2056
2735,130,ESPECIALIDAD EN NEUROPEDIATRIA,16954,311,POSGRADO,2056
2614,383,ESPECIALIZACIÓN EN CULTIVOS PERENNES INDUSTRIALES,52730,26,POSGRADO,2728
2620,159,MAESTRIA EN CIENCIAS - BIOLOGIA,2449,72,POSGRADO,2050
2650,163,MAESTRIA EN CIENCIAS FISICA,105,0,POSGRADO,2050
2756,286,MAESTRIA EN INGENIERIA BIOMEDICA,52739,52,POSGRADO,2056
2804,119,ESPECIALIZACIÓN EN INSTITUCIONES JURÍDICO PROCESALES,16950,32,POSGRADO,2053
2814,253,MAESTRIA EN EPIDEMIOLOGIA CLINICA,21560,69,POSGRADO,2056
2815,338,MAESTRÍA EN MORFOLOGÍA HUMANA,55138,67,POSGRADO,2056
2597,263,ESPECIALIDAD EN GERIATRIA - MÉDICOS FAMILIARES,21562,122,POSGRADO,2056
2911,282,MAESTRIA EN EDUCACIÓN,52978,57,POSGRADO,2052
